users,cpu_usage,ram_usage_mb,energy_j,network_bytes,sign_time_sec,verify_time_sec
1,1.0,0.0,0.000299414999972214,1812,0.0002674999996088445,0.00011919999997189734
5,0.5,0.19140625,0.0009619574999305769,8847,0.0007062999997287988,0.0002632600000652019
10,6.7,0.15234375,0.018418032000663515,17648,0.001293430000077933,0.0001455700001315563
20,10.6,0.40234375,0.048390218998702036,35522,0.00357154499997705,0.00014922999980626628
30,0.5,0.3984375,0.0036747524999555027,53378,0.005954963333230505,0.00014529666677844943
40,3.8,0.0,0.041932734000365596,71248,0.009713029999966238,0.00021986249985275207
50,2.0,2.0078125,0.02604302999989159,89012,0.01484137199982797,0.0001394360002450412
60,1.0,0.20703125,0.015749400000004243,106839,0.0146508449999601,0.00021676999998211007
70,4.2,0.87109375,0.08030320200050484,124538,0.022679434285756934,0.00017159428565979138
80,1.1,0.17578125,0.022163823000155392,142121,0.024393902499855357,0.00015201000001070498
90,3.0,0.5,0.07015905000043858,160010,0.02442387222227909,0.00015728888894146723
100,0.5,0.3671875,0.012759247500025595,177565,0.027206330000026355,0.0001747790000263194
